name,slug,category,subcategory,shortDescription,description,specifications,sku,metaKeywords,metaTitle,metaDescription,status,featured,image,pdf
Zebra ZXP Series 7 RFID Printer & Encoder,zxp-series-7-rfid-printer-encoder,RFID Solutions,RFID Card Printers,"ZXP Series 7 RFID Printer & Encoder delivers high-quality card printing and RFID encoding. Ideal for secure ID cards, membership cards, and access control applications.","ZXP Series 7 RFID Printer & Encoder provides fast, reliable card printing with advanced RFID encoding. Designed for businesses requiring security and efficiency, it ensures professional results. For best price, call 8527522688 or email gm@indianbarcode.com.","Print technology: Dye-sublimation; Resolution: 300 dpi; Connectivity: USB, Ethernet; RFID: HF Encoding; Card types: PVC, Composite; Memory: 512 MB SDRAM, 128 MB Flash",ZXP7-RFID-MW,"buy ZXP Series 7 RFID Printer & Encoder from Mindware, best price for ZXP Series 7 RFID Printer & Encoder from Mindware, best sales card RFID Printers from Mindware, best service provider of Zebra card RFID Printers from Mindware, best supplier Zebra card RFID Printers from Mindware, best quality ZXP Series 7 RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZXP Series 7 RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra card RFID Printers, best service center for ZXP Series 7 RFID Printer & Encoder Mindware",ZXP Series 7 RFID Printer & Encoder - Mindware,"ZXP Series 7 RFID Printer & Encoder delivers high-speed, professional card printing with RFID encoding for access control and membership cards. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/zxpseries7rfid-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ZXP Series With Laminator RFID Printer & Encoder,zxp-series-with-laminator-rfid-printer-encoder,RFID Solutions,RFID Card Printers,"ZXP Series with Laminator RFID Printer & Encoder offers secure and durable card printing with optional lamination for long-lasting results, perfect for corporate ID and membership cards.","This Zebra ZXP Series with Laminator combines high-quality card printing and advanced RFID encoding with lamination for maximum durability. Perfect for organizations requiring secure, professional cards. For best price, call 8527522688 or email gm@indianbarcode.com.","Print technology: Dye-sublimation; Resolution: 300 dpi; Laminator: Single/Dual-sided; Connectivity: USB, Ethernet; RFID: HF Encoding; Card types: PVC, Composite",ZXP-LAM-RFID-MW,"buy ZXP Series with Laminator RFID Printer & Encoder from Mindware, best price for ZXP Series with Laminator RFID Printer & Encoder from Mindware, best sales card RFID Printers from Mindware, best service provider of Zebra card RFID Printers from Mindware, best supplier Zebra card RFID Printers from Mindware, best quality ZXP Series with Laminator RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZXP Series with Laminator RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra card RFID Printers, best service center for ZXP Series with Laminator RFID Printer & Encoder Mindware",ZXP Series with Laminator RFID Printer & Encoder - Mindware,"ZXP Series with Laminator RFID Printer & Encoder ensures durable, secure card printing with RFID encoding and lamination for long-lasting cards. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/zxpseries7withlaminator-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ZXP Series 7 Pro RFID Printer & Encoder,zxp-series-7-pro-rfid-printer-encoder,RFID Solutions,RFID Card Printers,"ZXP Series 7 Pro RFID Printer & Encoder provides professional card printing with high-speed output and advanced RFID encoding, ideal for organizations with high-volume card needs.","ZXP Series 7 Pro RFID Printer & Encoder combines rapid card printing with precise RFID encoding. Its professional features are designed for corporate, government, and educational institutions. For best price, call 8527522688 or email gm@indianbarcode.com.","Print technology: Dye-sublimation; Resolution: 300 dpi; Connectivity: USB, Ethernet; RFID: HF Encoding; Card types: PVC, Composite; Memory: 512 MB SDRAM, 128 MB Flash",ZXP7-PRO-RFID-MW,"buy ZXP Series 7 Pro RFID Printer & Encoder from Mindware, best price for ZXP Series 7 Pro RFID Printer & Encoder from Mindware, best sales card RFID Printers from Mindware, best service provider of Zebra card RFID Printers from Mindware, best supplier Zebra card RFID Printers from Mindware, best quality ZXP Series 7 Pro RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZXP Series 7 Pro RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra card RFID Printers, best service center for ZXP Series 7 Pro RFID Printer & Encoder Mindware",ZXP Series 7 Pro RFID Printer & Encoder - Mindware,"ZXP Series 7 Pro RFID Printer & Encoder delivers fast, reliable professional card printing with advanced RFID encoding for high-volume applications. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/zxpseries7pro-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ZC300 LATAM-APAC-EMEA RFID Printer & Encoder,zc300-latam-apac-emea-rfid-printer-encoder,RFID Solutions,RFID Card Printers,"The ZC300 LATAM-APAC-EMEA RFID Printer & Encoder is a versatile card printing solution for global markets, offering high-quality printing and secure RFID encoding.","ZC300 LATAM-APAC-EMEA RFID Printer & Encoder supports efficient card printing with RFID encoding for corporate and commercial applications worldwide. For best price, call 8527522688 or email gm@indianbarcode.com.","Print technology: Dye-sublimation; Resolution: 300 dpi; Connectivity: USB, Ethernet; RFID: HF Encoding; Card types: PVC, Composite",ZC300-RFID-MW,"buy ZC300 LATAM-APAC-EMEA RFID Printer & Encoder from Mindware, best price for ZC300 LATAM-APAC-EMEA RFID Printer & Encoder from Mindware, best sales card RFID Printers from Mindware, best service provider of Zebra card RFID Printers from Mindware, best supplier Zebra card RFID Printers from Mindware, best quality ZC300 LATAM-APAC-EMEA RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZC300 LATAM-APAC-EMEA RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra card RFID Printers, best service center for ZC300 LATAM-APAC-EMEA RFID Printer & Encoder Mindware",ZC300 LATAM-APAC-EMEA RFID Printer & Encoder - Mindware,"ZC300 LATAM-APAC-EMEA RFID Printer & Encoder ensures reliable card printing and RFID encoding for global corporate and commercial applications. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/zc300latamapac-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ZE521 RFID Printer & Encoder,ze521-rfid-printer-encoder,RFID Solutions,RFID Printers,ZE521 RFID Printer & Encoder provides professional-grade RFID printing for businesses needing durable and accurate label and tag encoding.,"ZE521 RFID Printer & Encoder delivers high-performance printing and precise RFID encoding. Designed for robust operations in diverse industries. For best price, call 8527522688 or email gm@indianbarcode.com.","Print resolution: 203 dpi; Print width: 4 inches; Print speed: 6 inches/sec; Connectivity: USB, Ethernet; RFID: UHF Encoding; Memory: 256 MB Flash, 128 MB SDRAM",ZE521-RFID-MW,"buy ZE521 RFID Printer & Encoder from Mindware, best price for ZE521 RFID Printer & Encoder from Mindware, best sales RFID Printers from Mindware, best service provider of Zebra RFID Printers from Mindware, best supplier Zebra RFID Printers from Mindware, best quality ZE521 RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZE521 RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra RFID Printers, best service center for ZE521 RFID Printer & Encoder Mindware",ZE521 RFID Printer & Encoder - Mindware,"ZE521 RFID Printer & Encoder offers reliable and efficient RFID printing and encoding solutions for businesses. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/ze521-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ZE511 RFID Printer & Encoder,ze511-rfid-printer-encoder,RFID Solutions,RFID Printers,ZE511 RFID Printer & Encoder is a compact and efficient printing solution for businesses requiring reliable RFID label printing and encoding.,"ZE511 RFID Printer & Encoder delivers precise RFID encoding and quality printing for small to medium business operations. Easy to use and maintain. For best price, call 8527522688 or email gm@indianbarcode.com.","Print resolution: 203 dpi; Print width: 4 inches; Print speed: 6 inches/sec; Connectivity: USB, Ethernet; RFID: UHF Encoding; Memory: 256 MB Flash, 128 MB SDRAM",ZE511-RFID-MW,"buy ZE511 RFID Printer & Encoder from Mindware, best price for ZE511 RFID Printer & Encoder from Mindware, best sales RFID Printers from Mindware, best service provider of Zebra RFID Printers from Mindware, best supplier Zebra RFID Printers from Mindware, best quality ZE511 RFID Printer & Encoder from Mindware, master partner zebra printer from Mindware, bestseller ZE511 RFID Printer & Encoder from Mindware, Mindware importor and distributor of Zebra RFID Printers, best service center for ZE511 RFID Printer & Encoder Mindware",ZE511 RFID Printer & Encoder - Mindware,"ZE511 RFID Printer & Encoder ensures reliable and accurate RFID label printing and encoding for efficient business operations. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/model/ze511-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra FXP20 POS RFID Reader,zebra-fxp20-pos-rfid-reader,RFID Solutions,Fixed RFID Reader,"The Zebra FXP20 POS RFID Reader is a reliable and high-performance solution designed for seamless inventory and asset tracking. It provides fast and accurate reading capabilities in retail and logistics environments, ensuring efficiency and operational accuracy. This reader supports multiple protocols and is built for long-term durability, making it ideal for continuous POS operations in busy environments.","The Zebra FXP20 POS RFID Reader ensures fast and accurate RFID tag reading for retail and logistics applications. Its compact design makes it easy to integrate into any POS environment. Designed for reliability and long-term use, it reduces inventory errors and improves workflow efficiency. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 3m, Interfaces: USB, Ethernet, Dimensions: 200x100x50 mm, Power Supply: 5V DC, Temperature Range: 0°C to 50°C",FXP20,"buy Zebra FXP20 POS RFID Reader from Mindware, best price for Zebra FXP20 POS RFID Reader from Mindware, best sales RFID Readers from Mindware, best service provider of Zebra FXP20 POS RFID Reader from Mindware, best supplier RFID POS Readers from Mindware, best quality Zebra FXP20 POS RFID Reader from Mindware, master partner zebra printer from Mindware, bestseller Zebra FXP20 POS RFID Reader from Mindware, Mindware importer and distributor of RFID POS Readers, best service center for Zebra FXP20 POS RFID Reader Mindware",Zebra FXP20 POS RFID Reader,"Zebra FXP20 POS RFID Reader delivers fast and reliable RFID reading for retail and logistics environments. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/web004/fxp20-photography-website-cover-laying-flat-right-shadow-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra FXR90 Ultra-Rugged Fixed RFID Readers,zebra-fxr90-ultra-rugged-fixed-rfid-readers,RFID Solutions,Fixed RFID Reader,"Zebra FXR90 Ultra-Rugged Fixed RFID Readers are built for harsh industrial environments. They offer extended read ranges, high durability, and reliable performance for tracking assets in warehouses, factories, and outdoor operations. The FXR90 provides seamless integration with enterprise systems and supports multiple RFID protocols for efficient management of inventory and assets.","The Zebra FXR90 Ultra-Rugged Fixed RFID Readers are designed for extreme conditions, ensuring reliable performance in warehouses, factories, and outdoor areas. With extended read ranges and multi-protocol support, these readers enhance inventory management and operational efficiency. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 12m, Interfaces: Ethernet, RS232, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP65",FXR90,"buy Zebra FXR90 Ultra-Rugged Fixed RFID Readers from Mindware, best price for Zebra FXR90 Ultra-Rugged Fixed RFID Readers from Mindware, best sales RFID Readers from Mindware, best service provider of Zebra FXR90 Ultra-Rugged Fixed RFID Readers from Mindware, best supplier Industrial RFID Readers from Mindware, best quality Zebra FXR90 Ultra-Rugged Fixed RFID Readers from Mindware, master partner zebra printer from Mindware, bestseller Zebra FXR90 Ultra-Rugged Fixed RFID Readers from Mindware, Mindware importer and distributor of Industrial RFID Readers, best service center for Zebra FXR90 Ultra-Rugged Fixed RFID Readers Mindware",Zebra FXR90 Ultra-Rugged Fixed RFID Readers,"Zebra FXR90 Ultra-Rugged Fixed RFID Readers offer unmatched durability and high-performance reading for industrial applications. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/web004/fxr90-5g-8-port-photography-product-front-head-on-no-shadow-1x1-3600.jpg.imgw.3600.3600.jpg,
Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated antenna,zebra-fxr90-ultra-rugged-fixed-rfid-readers-with-integrated-antenna,RFID Solutions,Fixed RFID Reader,"The Zebra FXR90 Ultra-Rugged Fixed RFID Reader with Integrated Antenna combines high durability with superior RFID reading performance. Its integrated antenna design ensures simplified installation and optimal read accuracy for industrial, warehouse, and outdoor asset tracking environments.","The Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna offer a compact and integrated solution for industrial applications. The built-in antenna enhances read reliability and simplifies installation, providing efficient inventory and asset management. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 12m, Interfaces: Ethernet, RS232, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP65, Integrated Antenna: Yes",FXR90-IA,"buy Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna from Mindware, best price for Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna from Mindware, best sales RFID Readers from Mindware, best service provider of Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna from Mindware, best supplier Industrial RFID Readers from Mindware, best quality Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna from Mindware, master partner zebra printer from Mindware, bestseller Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna from Mindware, Mindware importer and distributor of Industrial RFID Readers, best service center for Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna Mindware",Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna,"Zebra FXR90 Ultra-Rugged Fixed RFID Readers With Integrated Antenna provide high performance and integrated solution for industrial tracking. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/web004/fxr90-5g-8-port-photography-product-front-head-on-no-shadow-1x1-3600.jpg.imgw.3600.3600.jpg,
Zebra FX9600 Fixed RFID Reader,zebra-fx9600-fixed-rfid-reader,RFID Solutions,Fixed RFID Reader,"Zebra FX9600 Fixed RFID Reader is a high-performance solution for demanding industrial applications. It offers excellent read accuracy, supports multiple RFID protocols, and can handle high-volume item tracking in warehouses, distribution centers, and manufacturing plants.","The Zebra FX9600 Fixed RFID Reader ensures precise and reliable RFID reading for high-volume industrial environments. It supports multiple protocols and delivers fast, efficient asset tracking, helping streamline inventory management. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 12m, Interfaces: Ethernet, RS232, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP65",FX9600,"buy Zebra FX9600 Fixed RFID Reader from Mindware, best price for Zebra FX9600 Fixed RFID Reader from Mindware, best sales RFID Readers from Mindware, best service provider of Zebra FX9600 Fixed RFID Reader from Mindware, best supplier Industrial RFID Readers from Mindware, best quality Zebra FX9600 Fixed RFID Reader from Mindware, master partner zebra printer from Mindware, bestseller Zebra FX9600 Fixed RFID Reader from Mindware, Mindware importer and distributor of Industrial RFID Readers, best service center for Zebra FX9600 Fixed RFID Reader Mindware",Zebra FX9600 Fixed RFID Reader,"Zebra FX9600 Fixed RFID Reader delivers reliable RFID tracking for industrial operations. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/series/fx9600-series-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ATR7000 RTLS Reader,zebra-atr7000-rtls-reader,RFID Solutions,Fixed RFID Reader,"The Zebra ATR7000 RTLS Reader is a precision tracking solution for real-time location systems. Designed for warehouses, hospitals, and industrial facilities, it provides accurate location tracking, supports multiple asset tags, and improves operational efficiency with reliable and consistent performance.","The Zebra ATR7000 RTLS Reader enables real-time location tracking for assets and personnel in warehouses, hospitals, and industrial facilities. It supports multiple tag protocols and ensures reliable performance to improve operational efficiency. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 15m, Interfaces: Ethernet, RS232, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP65",ATR7000,"buy Zebra ATR7000 RTLS Reader from Mindware, best price for Zebra ATR7000 RTLS Reader from Mindware, best sales RTLS Readers from Mindware, best service provider of Zebra ATR7000 RTLS Reader from Mindware, best supplier RTLS Readers from Mindware, best quality Zebra ATR7000 RTLS Reader from Mindware, master partner zebra printer from Mindware, bestseller Zebra ATR7000 RTLS Reader from Mindware, Mindware importer and distributor of RTLS Readers, best service center for Zebra ATR7000 RTLS Reader Mindware",Zebra ATR7000 RTLS Reader,"Zebra ATR7000 RTLS Reader provides high-precision real-time tracking for assets and personnel. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/series/atr7000-series-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra FX7500 Fixed RFID Reader,zebra-fx7500-fixed-rfid-reader,RFID Solutions,Fixed RFID Reader,"Zebra FX7500 Fixed RFID Reader is engineered for superior performance in retail, logistics, and warehouse environments. It delivers fast and reliable reads, handles high volumes of tags, and integrates seamlessly into enterprise management systems for efficient asset tracking.","The Zebra FX7500 Fixed RFID Reader delivers reliable, high-speed RFID tag reading for retail, warehouse, and logistics operations. Its robust design and multi-protocol support improve efficiency and reduce inventory errors. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 9m, Interfaces: Ethernet, USB, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP53",FX7500,"buy Zebra FX7500 Fixed RFID Reader from Mindware, best price for Zebra FX7500 Fixed RFID Reader from Mindware, best sales RFID Readers from Mindware, best service provider of Zebra FX7500 Fixed RFID Reader from Mindware, best supplier Industrial RFID Readers from Mindware, best quality Zebra FX7500 Fixed RFID Reader from Mindware, master partner zebra printer from Mindware, bestseller Zebra FX7500 Fixed RFID Reader from Mindware, Mindware importer and distributor of Industrial RFID Readers, best service center for Zebra FX7500 Fixed RFID Reader Mindware",Zebra FX7500 Fixed RFID Reader,"Zebra FX7500 Fixed RFID Reader provides reliable and fast RFID reading for high-volume environments. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/series/fx7500-series-3x2-3600.jpg.imgw.3600.3600.jpg,
Zebra ST5500 Transition Reader,zebra-st5500-transition-reader,RFID Solutions,Fixed RFID Reader,"The Zebra ST5500 Transition Reader is designed to capture RFID tags in transition areas such as doorways, gates, and conveyors. It ensures accurate reads during high-speed movements, making it ideal for warehouse and industrial applications.","The Zebra ST5500 Transition Reader captures RFID tags in transition zones like gates, conveyors, and doorways with high accuracy. Its robust design and reliable performance enhance inventory control and operational efficiency. For best price, call 8527522688 or email gm@indianbarcode.com","Frequency: UHF, Protocol: EPC Class 1 Gen 2, Read Range: Up to 5m, Interfaces: Ethernet, Power: 24V DC, Temperature Range: -20°C to 55°C, IP Rating: IP53",ST5500,"buy Zebra ST5500 Transition Reader from Mindware, best price for Zebra ST5500 Transition Reader from Mindware, best sales Transition RFID Readers from Mindware, best service provider of Zebra ST5500 Transition Reader from Mindware, best supplier Industrial RFID Readers from Mindware, best quality Zebra ST5500 Transition Reader from Mindware, master partner zebra printer from Mindware, bestseller Zebra ST5500 Transition Reader from Mindware, Mindware importer and distributor of Industrial RFID Readers, best service center for Zebra ST5500 Transition Reader Mindware",Zebra ST5500 Transition Reader,"Zebra ST5500 Transition Reader ensures accurate RFID reading in transition zones for industrial applications. For best price, call 8527522688 or email gm@indianbarcode.com",Active,TRUE,https://www.zebra.com/content/dam/zebra_dam/global/zcom-web-production/web-production-photography/product-cards/series/st5500-series-3x2-3600.jpg.imgw.3600.3600.jpg,
